우편번호|우편일련번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리|산여부|지번본번|읍면동일련번호|지번부번
135802|011|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|25|0|1168010300101570003019471||개포동천주교회|1168010300|개포동||0|157|01|1
135802|011|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|19|0|1168010300101570009019527||개포렉스힐|1168010300|개포동||0|157|01|9
135994|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|38|0|1168010300101860001019917||개포빌딩|1168010300|개포동||0|186|01|1
135802|011|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|30|0|1168010300101670006019566||개포빌딩|1168010300|개포동||0|167|02|4
135802|011|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|12|0|1168010300101590002019532||개포연립|1168010300|개포동||0|159|01|2
135804|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166689|영동대로3길|Yeongdong-daero 3-gil|0|7|0|1168010300101890002019899||개포우체국|1168010300|개포동||0|189|01|2
135994|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|512|0|1168010300101860017019901||개포종합상가|1168010300|개포동||0|186|01|17
135770|002|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|310|0|1168010300106600001019956|주공아파트|개포주공1차아파트|1168010300|개포동||0|660|01|1
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|310|21|1168010300106600009019992||개포주공1차아파트|1168010300|개포동||0|660|01|9
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|310|19|1168010300106600008019985||개포주공1차아파트|1168010300|개포동||0|660|01|8
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|9|0|1168010300106600037019656||개포중학교|1168010300|개포동||0|660|02|37
135804|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166689|영동대로3길|Yeongdong-daero 3-gil|0|45|0|1168010300101880000019794||개포초등학교|1168010300|개포동||0|188|01|0
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|310|15|1168010300106600005019982||개포치안센터|1168010300|개포동||0|660|01|5
135965|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|261|0|1168010300102680000020336||개포파출소|1168010300|개포동||0|1268|01|0
135800|061|서울특별시|Seoul|강남구|Gangnam-gu|||116804166481|선릉로18길|Seolleung-ro 18-gil|0|12|0|1168010300101720008019323||개포현대아파트|1168010300|개포동||0|172|01|3
135939|011|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|617|8|1168010300100140002000001||강남구 건강가정지원센터|1168010300|개포동||0|14|01|2
